id,område,route,kontekst,type,nuværende_tekst,status,problemkategori,bemærkning,forslag,prioritet,fil,linje,dynamisk
FRB-0001,Frøbank,api,Server action: fallback-fejl ved oprettelse af inventory item,system/status/fejl,Kunne ikke oprette,auto-gennemgået,OK,Også l.463 (custom underkategori),,,src/actions/froebank.ts,234,nej
FRB-0002,Frøbank,api,Server actions: rå DB-fejl returneres direkte til UI (mønster i update/delete/bulk/toggle),system/status/fejl,${error.message},auto-flagget,UKLAR_UX_COPY,"Engelsk i UI: Supabase-fejltekster (engelske) vises uoversat i fejl-feltet i dialoger/kort — gennemgående mønster i froebank.ts, inventory-import.ts og seed-swap.ts",Map til venlige danske beskeder ('Noget gik galt — prøv igen.') og log den tekniske fejl,P1,src/actions/froebank.ts,299,ja
FRB-0003,Frøbank,api,Server action: toggle favorit/fastgør — item findes ikke,system/status/fejl,Element ikke fundet,auto-gennemgået,OK,l.383 og l.410,,,src/actions/froebank.ts,383,nej
FRB-0004,Frøbank,api,Excel-import: valideringsfejl (ingen fil),system/status/fejl,Ingen fil,auto-gennemgået,OK,,,,src/actions/inventory-import.ts,86,nej
FRB-0005,Frøbank,api,Excel-import: fil for stor,system/status/fejl,Fil for stor (max 5MB),auto-gennemgået,OK,,,,src/actions/inventory-import.ts,87,nej
FRB-0006,Frøbank,api,Excel-import: kan ikke læse fil,system/status/fejl,Kunne ikke læse fil. Brug .xlsx eller .csv.,auto-gennemgået,OK,,,,src/actions/inventory-import.ts,94,nej
FRB-0007,Frøbank,api,Excel-import: tom fil,system/status/fejl,Filen er tom,auto-gennemgået,OK,Også 'Ingen data i filen' (l.102),,,src/actions/inventory-import.ts,98,nej
FRB-0008,Frøbank,api,Excel-import: rækkefejl,system/status/fejl,Mangler navn eller latinsk navn,auto-gennemgået,OK,,,,src/actions/inventory-import.ts,137,nej
FRB-0009,Frøbank,api,Excel-import: rækkefejl (negativt antal),system/status/fejl,Antal frø må ikke være negativt,auto-gennemgået,OK,,,,src/actions/inventory-import.ts,140,nej
FRB-0010,Frøbank,api,Excel-import: rækkeadvarsel,system/status/fejl,Mistænkeligt købsår: ${data.purchaseYear},auto-gennemgået,OK,,,,src/actions/inventory-import.ts,143,ja
FRB-0011,Frøbank,api,Excel-import: fallback-navn ved manglende navn,system/status/fejl,Ukendt,auto-gennemgået,OK,Vises som itemnavn i frøbanken hvis rækken kun havde latinsk navn og det også manglede,,,src/actions/inventory-import.ts,175,nej
FRB-0012,Frøbank,/grupper/[id],Frøbytte: fallback-afsendernavn,ui/microcopy,Ukendt bruger,auto-gennemgået,OK,,,,src/actions/seed-swap.ts,13,nej
FRB-0013,Frøbank,/grupper/[id],Frøbytte: valideringsfejl ved opret opslag,system/status/fejl,Plantenavn er påkrævet,auto-gennemgået,OK,,,,src/actions/seed-swap.ts,122,nej
FRB-0014,Frøbank,/grupper/[id],Frøbytte: fallback-fejl ved opret opslag,system/status/fejl,Kunne ikke oprette opslag,auto-gennemgået,OK,,,,src/actions/seed-swap.ts,141,nej
FRB-0015,Frøbank,/grupper/[id],Frøbytte: opslag findes ikke,system/status/fejl,Opslag findes ikke,auto-gennemgået,OK,,,,src/actions/seed-swap.ts,197,nej
FRB-0016,Frøbank,/grupper/[id],Frøbytte: dublet-forespørgsel,system/status/fejl,Du har allerede en ventende forespørgsel på dette opslag,auto-gennemgået,OK,,,,src/actions/seed-swap.ts,207,nej
FRB-0017,Frøbank,/grupper/[id],Frøbytte: forespørgsel findes ikke,system/status/fejl,Forespørgsel findes ikke,auto-gennemgået,OK,,,,src/actions/seed-swap.ts,227,nej
FRB-0018,Frøbank,/froebank/[id],Detaljeside: hero aria-label,ui/microcopy,${item.name}${item.variety ? ` ${item.variety}` : ''} — frøkort,auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,106,ja
FRB-0019,Frøbank,/froebank/[id],Detaljeside: tilbage-knap aria,navigation,Tilbage,auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,110,nej
FRB-0020,Frøbank,/froebank/[id],Detaljeside hero: statuskolonne-overskrift,ui/microcopy,Frøstatus,auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,281,nej
FRB-0021,Frøbank,/froebank/[id],Detaljeside hero: status-labels,dyrkningsfakta,Frø tilbage,auto-gennemgået,OK,"Øvrige: 'Sået i år' (l.296), 'Såvindue' (l.302), 'Høst' (l.308)",,,src/app/(app)/froebank/[id]/page.tsx,290,nej
FRB-0022,Frøbank,/froebank/[id],Detaljeside: galleri alt-tekst,ui/microcopy,${item.name} billede ${i + 1},auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,343,ja
FRB-0023,Frøbank,/froebank/[id],Detaljeside: guide-genvej,ui/microcopy,Se guide,auto-gennemgået,OK,,,,src/app/(app)/froebank/[id]/page.tsx,354,nej
